Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
101,A,Yangon,Member,Female,Health and beauty,74.69,7,26.14,548.97,1/5/2019,13:08,Ewallet,522.83,4.76,26.14,9.1
102,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,76.4,4.76,3.82,9.6
103,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.21,340.52,3/3/2019,13:23,Credit card,324.31,4.76,16.21,7.4
104,A,Yangon,Member,Male,Health and beauty,58.22,8,23.28,489.04,1/27/2019,20:33,Ewallet,465.76,4.76,23.28,8.4
105,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.20,634.43,2/8/2019,10:46,Ewallet,604.17,4.76,30.20,5.3
106,C,Naypyitaw,Normal,Female,Electronic accessories,73.56,3,11.03,231.71,2/25/2019,13:19,Ewallet,220.68,4.76,11.03,4.1
107,B,Mandalay,Member,Female,Fashion accessories,54.84,3,8.22,172.74,2/24/2019,16:05,Ewallet,164.52,4.76,8.22,5.8
108,B,Mandalay,Normal,Female,Health and beauty,73.11,5,18.27,383.82,2/26/2019,9:12,Cash,365.55,4.76,18.27,5.2
109,A,Yangon,Member,Female,Electronic accessories,86.04,5,21.51,451.71,3/2/2019,14:05,Credit card,430.2,4.76,21.51,6.8
110,C,Naypyitaw,Normal,Male,Health and beauty,54.40,6,16.32,342.72,2/20/2019,14:21,Cash,326.4,4.76,16.32,9.6
111,B,Mandalay,Member,Male,Sports and travel,52.59,8,21.03,441.75,2/20/2019,11:12,Ewallet,420.72,4.76,21.03,5.9
112,A,Yangon,Normal,Female,Food and beverages,22.86,6,6.85,144.01,2/26/2019,12:21,Credit card,137.16,4.76,6.85,7.4
113,C,Naypyitaw,Normal,Female,Fashion accessories,61.42,7,21.49,451.48,1/3/2019,10:29,Ewallet,429.94,4.76,21.49,9.4
114,A,Yangon,Normal,Male,Home and lifestyle,22.35,5,5.58,117.33,1/31/2019,13:19,Cash,111.75,4.76,5.58,4.3
115,A,Yangon,Normal,Female,Sports and travel,71.38,6,21.41,449.69,3/27/2019,10:46,Cash,428.28,4.76,21.41,9.0
116,B,Mandalay,Member,Female,Health and beauty,43.19,5,10.79,226.74,1/16/2019,14:05,Ewallet,215.95,4.76,10.79,8.4
117,C,Naypyitaw,Normal,Male,Home and lifestyle,93.72,7,32.80,688.84,1/15/2019,16:05,Credit card,656.04,4.76,32.80,6.1
118,B,Mandalay,Member,Male,Electronic accessories,46.12,4,9.22,193.70,3/22/2019,20:33,Ewallet,184.48,4.76,9.22,4.8
119,A,Yangon,Normal,Female,Fashion accessories,83.91,5,20.97,440.52,2/15/2019,11:12,Cash,419.55,4.76,20.97,7.2
120,A,Yangon,Member,Male,Food and beverages,29.33,7,10.26,215.57,3/12/2019,13:08,Credit card,205.31,4.76,10.26,8.1
121,C,Naypyitaw,Normal,Female,Health and beauty,75.12,3,11.26,236.62,1/21/2019,10:29,Ewallet,225.36,4.76,11.26,9.0
122,B,Mandalay,Member,Male,Sports and travel,50.21,6,15.06,316.32,2/14/2019,13:19,Cash,301.26,4.76,15.06,7.5
123,B,Mandalay,Normal,Female,Fashion accessories,95.66,4,19.13,401.77,3/5/2019,10:46,Ewallet,382.64,4.76,19.13,8.2
124,A,Yangon,Normal,Male,Electronic accessories,30.55,8,12.22,256.62,2/10/2019,16:05,Cash,244.4,4.76,12.22,6.3
125,C,Naypyitaw,Member,Female,Food and beverages,81.23,5,20.30,426.45,1/11/2019,14:05,Credit card,406.15,4.76,20.30,5.4
126,A,Yangon,Member,Male,Home and lifestyle,45.67,6,13.70,287.72,3/20/2019,11:12,Ewallet,274.02,4.76,13.70,9.1
127,C,Naypyitaw,Normal,Male,Sports and travel,60.88,7,21.30,447.46,2/28/2019,20:33,Cash,426.16,4.76,21.30,4.9
128,B,Mandalay,Normal,Female,Health and beauty,33.45,4,6.69,140.49,1/25/2019,13:08,Credit card,133.8,4.76,6.69,8.5
129,A,Yangon,Member,Female,Electronic accessories,88.99,3,13.34,280.31,2/18/2019,13:19,Ewallet,266.97,4.76,13.34,7.8
130,B,Mandalay,Normal,Male,Fashion accessories,76.54,5,19.13,401.83,3/10/2019,10:46,Cash,382.7,4.76,19.13,6.2
